,P50_model
35064,892151.3344424901
35065,882335.6953828438
35066,864347.6023263356
35067,895555.738162044
35068,922836.1629671877
35069,1025092.4062524362
35070,1340305.6816914286
35071,1392208.9991585803
35072,1326741.6161427235
35073,1221696.589172664
35074,1161316.897501742
35075,1142806.265320353
35076,1137688.7191716617
35077,1115028.9968789222
35078,1112390.2254866913
35079,1112390.2254866913
35080,1119196.7923375156
35081,1226068.563888266
35082,1339116.3135417996
35083,1382298.5521526411
35084,1359157.227751818
35085,1269590.7938377245
35086,1117493.4168879413
35087,987231.2723543457
35088,850114.0852269727
35089,835940.7566581814
35090,819597.0044173374
35091,843981.1263250228
35092,884254.9071397634
35093,975504.1123042287
35094,1194659.3407147492
35095,1277251.591650924
35096,1225401.9808581453
35097,1162626.7576094025
35098,1141182.863376349
35099,1132686.1923070613
35100,1135729.1910146477
35101,1110026.4700143219
35102,1107387.698622091
35103,1107387.698622091
35104,1114194.2654729157
35105,1221439.6318308748
35106,1338307.4159935578
35107,1381489.6546043993
35108,1353310.1745617308
35109,1248714.1910391324
35110,1094448.8600455998
35111,930142.5518421021
35112,832162.2048526094
35113,785323.0686236433
35114,783138.4547949884
35115,787273.8979254166
35116,827380.0565454565
35117,975504.1123042287
35118,1211880.3467455856
35119,1373547.361188937
35120,1319760.6600430298
35121,1257177.3338544222
35122,1162626.7576094025
35123,1156460.1566125713
35124,1160482.8673034934
35125,1120290.282764767
35126,1117651.5113725362
35127,1121446.4132316788
35128,1126362.2728160773
35129,1248802.6761615875
35130,1428295.7438274724
35131,1516002.073001304
35132,1546237.2605498647
35133,1487526.3730502166
35134,1345664.659457379
35135,1222946.446230249
35136,1112800.2647582637
35137,1075531.5960360607
35138,1143267.6349025886
35139,1231811.375704986
35140,1303777.6559909615
35141,1479935.486601307
35142,1782023.456759856
35143,1915128.211445888
35144,1717193.3328816462
35145,1470682.4319751184
35146,1307865.1832188505
35147,1176347.7787064982
35148,1155965.637993708
35149,1117727.9387726574
35150,1114785.2936159847
35151,1114785.2936159847
35152,1120080.9123666834
35153,1242691.972656758
35154,1464632.6680273262
35155,1573387.4801357496
35156,1581726.1164385453
35157,1600068.9926208127
35158,1412899.0710464828
35159,1271426.8225403307
35160,1113071.1452259207
35161,1156790.6383674685
35162,1196324.4595556003
35163,1204687.7607726427
35164,1304048.536458618
35165,1480206.3670689634
35166,1690983.984143568
35167,1851130.865512218
35168,1610527.2618149074
35169,1356048.6833897028
35170,1155965.637993708
35171,1147254.876550167
35172,1131142.618840058
35173,1100322.3516910404
35174,1100726.5790063965
35175,1097683.58029881
35176,1108083.5619680856
35177,1216365.0441368134
35178,1298898.1547984532
35179,1323833.475360418
35180,1317762.7157900778
35181,1316974.3950605497
35182,1133086.1649390247
35183,1079594.3776162958
35184,975788.1688826891
35185,930574.7236537469
35186,909885.16308341
35187,907936.7784449112
35188,937127.246776142
35189,1010080.2155817518
35190,1319174.8422865644
35191,1415991.3059537164
35192,1347104.5704448696
35193,1294513.7232905307
35194,1171699.5863284746
35195,1165472.4736523523
35196,1167954.8902264077
35197,1140443.9279192744
35198,1128363.4445347602
35199,1125895.3490207132
35200,1124134.0055020864
35201,1242876.3535203412
35202,1331897.3908344402
35203,1416054.801636648
35204,1444341.4756716832
35205,1393002.346500606
35206,1225002.3490800404
35207,1209814.2960875228
35208,1101524.2522729014
35209,1080566.858032051
35210,1192469.9336919365
35211,1260939.8168371036
35212,1381373.7506236471
35213,1557660.889947819
35214,1810203.1830909636
35215,1907568.1154829876
35216,1858970.4503944784
35217,1747505.1196489276
35218,1547283.179802247
35219,1439414.6204546087
35220,1382015.9047770475
35221,1298045.292089125
35222,1241706.157068084
35223,1241706.157068084
35224,1313663.7243694214
35225,1472996.855231414
35226,1640527.2020188486
35227,1662595.6629825966
35228,1740711.0009426083
35229,1796798.2513718167
35230,1762369.2887202632
35231,1589712.5224049645
35232,1554677.947763268
35233,1569677.641173677
35234,1603390.4217082765
35235,1636946.5097082765
35236,1702968.8332332359
35237,1886091.2189016347
35238,2075528.704455026
35239,2192637.883045788
35240,1909868.2639877587
35241,1638998.8931218325
35242,1352323.5952985277
35243,1210501.4839175527
35244,1158297.005634091
35245,1116662.1721555288
35246,1109809.4641123768
35247,1111451.3811626788
35248,1116526.4812200721
35249,1274760.3835457054
35250,1519773.7472133748
35251,1625802.1693713162
35252,1696533.274179556
35253,1610673.9524863
35254,1497005.7189735118
35255,1338615.0720769083
35256,1177513.0052701654
35257,1215738.886790052
35258,1239062.1272399304
35259,1295922.519739361
35260,1354180.749286659
35261,1523440.615907005
35262,1793919.6024002251
35263,1881271.570729312
35264,1630422.9473101147
35265,1351514.697750286
35266,1151431.6523542912
35267,1150649.7404088988
35268,1134121.7057602436
35269,1105039.8598393209
35270,1097283.5422983991
35271,1102401.0884470905
35272,1111062.648888271
35273,1212001.7154419601
35274,1345107.014464307
35275,1412917.3324060163
35276,1439823.1178388987
35277,1373938.8566621237
35278,1234951.615791677
35279,1122341.6258177739
35280,997050.0358089919
35281,1005420.0284125292
35282,991202.9688499244
35283,991202.9688499244
35284,1059874.6923972229
35285,1190536.0441504912
35286,1526762.1108299745
35287,1587463.9240953787
35288,1440994.7501349086
35289,1281775.7275794337
35290,1151431.6523542912
35291,1153421.709687388
35292,1146854.8385497562
35293,1108418.9847599172
35294,1105780.2133676868
35295,1105780.2133676868
35296,1115872.7892770155
35297,1212001.7154419601
35298,1370209.2453363636
35299,1449168.3280188818
35300,1472316.5997872457
35301,1410633.297089174
35302,1220281.932711027
35303,1133126.443921084
35304,1042688.6971347317
35305,1008669.3843870057
35306,1039610.4588499244
35307,1065315.932033924
35308,1080421.8198204678
35309,1224349.2398700146
35310,1602117.4348597466
35311,1768514.4379944992
35312,1510595.350518181
35313,1351612.6933032277
35314,1171911.788620023
35315,1145363.0469104017
35316,1146952.8341026977
35317,1108516.9803128587
35318,1102499.084000032
35319,1105878.2089206283
35320,1115970.784829957
35321,1218156.16672646
35322,1366859.5549625994
35323,1445818.6376451177
35324,1490434.441586359
35325,1428282.9175018403
35326,1229224.125337263
35327,1139504.7591431611
35328,1035035.1436107742
35329,997766.4748885717
35330,1028707.5493514903
35331,1028707.5493514903
35332,1069518.9103220336
35333,1200180.2620753034
35334,1502183.5942217866
35335,1662035.6638781908
35336,1477022.8162602335
35337,1321028.7705831246
35338,1151529.6479072329
35339,1150747.7359618403
35340,1134219.701313185
35341,1105137.8553922623
35342,1102499.084000032
35343,1102499.084000032
35344,1115970.784829957
35345,1212099.7109949018
35346,1294462.1647119776
35347,1321565.4393176918
35348,1360010.344584593
35349,1312538.404974074
35350,1160285.3431572067
35351,1078655.9501894512
35352,986494.8593806487
35353,965300.837735858
35354,938146.8787284084
35355,962724.6945027206
35356,1004500.5283467753
35357,1111171.5231862497
35358,1389217.5577522507
35359,1556506.8931311376
35360,1430283.6542919227
35361,1342796.9920175392
35362,1180827.8076047336
35363,1170021.5463072273
35364,1168694.7399621317
35365,1133905.5417522076
35366,1121825.0583676933
35367,1121825.0583676933
35368,1127185.6148673017
35369,1227321.7857527481
35370,1308210.756938296
35371,1308043.8466282047
35372,1315890.6010468414
35373,1297522.774907574
35374,1139199.9519788383
35375,1079147.9721756915
35376,1001934.2305264408
35377,960313.3820067229
35378,959685.6234120841
35379,986292.7827176135
35380,1001398.6705041577
35381,1156477.1553436322
35382,1484185.9606741157
35383,1644038.03033052
35384,1613963.2471053938
35385,1483985.827241035
35386,1393019.6795800482
35387,1323280.7094091964
35388,1251197.5681990734
35389,1175363.7083360245
35390,1139725.7320207627
35391,1139725.7320207627
35392,1167427.067169597
35393,1286901.6110263518
35394,1452139.8779873662
35395,1507347.357953916
35396,1501541.8574841456
35397,1444021.1404098705
35398,1327707.721518152
35399,1185627.564782048
35400,1085097.035084785
35401,1053193.8617338305
35402,1061063.4851746955
35403,1108707.9816083792
35404,1172884.1684655142
35405,1364528.5471620625
35406,1623053.5478840708
35407,1781087.2498017815
35408,1703553.9434447344
35409,1544518.308362382
35410,1403820.060047213
35411,1327100.1337766675
35412,1241266.852964315
35413,1169186.800881988
35414,1160491.5737581993
