,P80_model
35064,956049.1381289415
35065,928834.6363739311
35066,914155.0356777
35067,975549.6503258508
35068,996521.409067019
35069,1130847.176756393
35070,1434494.5721098986
35071,1513987.0814465364
35072,1502525.3768805785
35073,1308915.3687474784
35074,1208036.4188601533
35075,1189787.9168171408
35076,1186116.941191369
35077,1160983.2701264324
35078,1160983.2701264324
35079,1160983.2701264324
35080,1185687.8339360903
35081,1251193.570334458
35082,1410614.6109345667
35083,1450194.6801421894
35084,1391242.6191378853
35085,1358317.2692492187
35086,1171430.9256374014
35087,1016640.9299656427
35088,919592.1780886173
35089,897494.5399095874
35090,884727.0961153363
35091,896045.0529528586
35092,910842.531214258
35093,1079540.6335460914
35094,1327502.2707305641
35095,1359495.516666069
35096,1296775.3221769987
35097,1225117.135341675
35098,1181989.4322997541
35099,1174785.2558757477
35100,1169852.9194880077
35101,1146656.5532466872
35102,1146656.5532466872
35103,1146656.5532466872
35104,1178213.5158998559
35105,1251193.570334458
35106,1391902.7730033249
35107,1431805.8218210535
35108,1372460.618358702
35109,1270240.8707247407
35110,1079020.1853530805
35111,975968.0303355837
35112,857448.080764448
35113,836991.3702631166
35114,821127.1228041155
35115,862824.5869324887
35116,900802.1448346091
35117,1081332.9721819814
35118,1329294.6093664542
35119,1406383.5562596153
35120,1456471.4483547448
35121,1348346.553442333
35122,1224367.879368574
35123,1202318.8739904906
35124,1183990.2656055475
35125,1153553.3518303894
35126,1153553.3518303894
35127,1153553.3518303894
35128,1194342.8738132268
35129,1283789.1208855356
35130,1493239.3472885313
35131,1571189.1267911494
35132,1537587.3592921384
35133,1502607.7432872113
35134,1400848.1162205325
35135,1270727.7308546645
35136,1164813.6203738234
35137,1150244.5003532663
35138,1285266.076739027
35139,1331523.847742558
35140,1424042.907114972
35141,1632396.7532860674
35142,2001969.4958518525
35143,2085082.8510959237
35144,1841917.1599761979
35145,1581105.7148285403
35146,1379921.3974617685
35147,1252612.4480906136
35148,1201135.0766815518
35149,1148690.734422318
35150,1152218.839465149
35151,1152218.839465149
35152,1168671.75234136
35153,1303977.0919456389
35154,1519159.2517696526
35155,1645154.3017282754
35156,1591835.3684792647
35157,1572532.5951408765
35158,1496541.9373973403
35159,1351609.3921298522
35160,1208979.1159994535
35161,1257144.2826434008
35162,1329211.08625261
35163,1340009.444943184
35164,1432572.8867594632
35165,1611615.21091362
35166,1814502.915088105
35167,1948758.6691817776
35168,1761232.5300543052
35169,1454145.349450988
35170,1229087.623758426
35171,1206866.2343462422
35172,1178302.3073373656
35173,1155105.941096045
35174,1151025.0763696237
35175,1152962.3811932397
35176,1171282.262009413
35177,1223070.8140550412
35178,1384922.1546284372
35179,1414358.7342336362
35180,1371114.1290201645
35181,1371407.9304997534
35182,1234765.1904313595
35183,1120303.4994344558
35184,1046894.226856481
35185,984963.5072155537
35186,995677.0692871088
35187,999077.3349989579
35188,1015391.2838285747
35189,1132351.4068927285
35190,1396138.2848611348
35191,1520543.872477773
35192,1486059.9477200774
35193,1440004.9548789305
35194,1291871.0949785593
35195,1259959.295926893
35196,1227704.2290235413
35197,1196938.531579504
35198,1186606.1024720964
35199,1179874.471195238
35200,1212953.048744241
35201,1271724.4345622053
35202,1440796.9423141205
35203,1473971.5568469344
35204,1473120.8766649736
35205,1457258.7456820684
35206,1348300.0581917134
35207,1296370.8034587917
35208,1188234.952038139
35209,1174088.9838047782
35210,1334405.2026068857
35211,1386908.8942430143
35212,1496100.5022793238
35213,1659781.3061291885
35214,2011264.027005872
35215,2076516.2864890818
35216,2045572.3783378869
35217,1913832.2047435022
35218,1755593.8520975388
35219,1598378.3980952182
35220,1511691.6397428734
35221,1405409.761738786
35222,1338610.3060469334
35223,1337600.8656400272
35224,1385783.538189242
35225,1496485.7063641362
35226,1792700.9342827941
35227,1839034.6341183023
35228,1867815.211605441
35229,1895423.5478902317
35230,1744741.3434914902
35231,1613813.9219638708
35232,1522214.3573822053
35233,1616529.8112582467
35234,1697608.9069783462
35235,1738025.5194016926
35236,1793680.2903530218
35237,1945151.4761529064
35238,2259955.332260871
35239,2319952.4005172825
35240,2040028.2514221522
35241,1769716.3921047477
35242,1506066.081635796
35243,1312915.5319872438
35244,1214359.2129616714
35245,1151378.5159206926
35246,1148453.7417032253
35247,1148453.7417032253
35248,1186344.3546580246
35249,1337094.5397934278
35250,1596443.8485196813
35251,1683446.3208925002
35252,1674734.6096337596
35253,1662426.605457978
35254,1518141.8893070235
35255,1370208.7931691215
35256,1249408.7993129056
35257,1298748.543998371
35258,1329418.2735624432
35259,1389608.0321097479
35260,1475097.4180576096
35261,1682674.7826851637
35262,2016228.2799798984
35263,2042863.6331250628
35264,1768072.7389691223
35265,1506469.9570717318
35266,1223230.1097124498
35267,1201008.720300266
35268,1179648.969715396
35269,1149248.427050069
35270,1149248.427050069
35271,1149248.427050069
35272,1179661.5824659327
35273,1249807.325179878
35274,1466661.3195165491
35275,1494378.36396555
35276,1455561.3650851054
35277,1458200.4492618293
35278,1291711.713677093
35279,1182257.2249873378
35280,1085034.3783660303
35281,1075435.4833308016
35282,1094336.1253846711
35283,1095348.6752540865
35284,1137793.748791481
35285,1250801.1262401775
35286,1540546.2492017695
35287,1681952.5398308877
35288,1547337.3843401792
35289,1394163.485983971
35290,1225022.4483483396
35291,1206004.5851701833
35292,1181441.3083512858
35293,1154207.920810155
35294,1154207.920810155
35295,1154207.920810155
35296,1178885.2336102463
35297,1243573.9687691554
35298,1467288.7126049045
35299,1517334.5300949435
35300,1474147.890370076
35301,1464655.6877873885
35302,1336084.033862975
35303,1207347.1971334345
35304,1111053.3043808707
35305,1072276.704291742
35306,1123816.9904220535
35307,1130610.5389256328
35308,1193318.9157880582
35309,1398859.9031512565
35310,1703673.994199438
35311,1846895.387039404
35312,1705329.7603041413
35313,1506927.7833423812
35314,1240311.0143223314
35315,1201638.930605016
35316,1180106.7959860454
35317,1152873.4084449147
35318,1149706.2533207184
35319,1152873.4084449147
35320,1175934.0280672247
35321,1255081.4692568853
35322,1478298.697117017
35323,1513759.229364814
35324,1503958.182731611
35325,1454016.3997327974
35326,1353488.3379977343
35327,1206012.6847681939
35328,1114485.8641857312
35329,1094382.6525642273
35330,1123266.651894539
35331,1123361.8668399425
35332,1139910.012302936
35333,1291899.2747585173
35334,1569889.2811359628
35335,1769959.0587040982
35336,1709397.1807792974
35337,1454799.9184307538
35338,1229742.1927381917
35339,1207520.803326008
35340,1186161.0527411378
35341,1155760.5100758108
35342,1153616.9501730055
35343,1153616.9501730055
35344,1175103.986113375
35345,1236088.1431562027
35346,1397583.1832897144
35347,1417410.4000958859
35348,1379941.8997375036
35349,1375758.5359021444
35350,1268596.6580305
35351,1162322.9124550144
35352,1055376.4759611955
35353,1017411.2489163589
35354,1050354.0492005942
35355,1063725.5677049262
35356,1097134.5855720304
35357,1185877.7875261498
35358,1453186.055627969
35359,1604306.1462570876
35360,1530997.9879839984
35361,1497208.3375691837
35362,1292607.4510843672
35363,1254070.388738302
35364,1235172.2164062078
35365,1190906.2737318166
35366,1180573.844624409
35367,1179299.300263682
35368,1199945.7491613994
35369,1242725.2054917095
35370,1388097.727463196
35371,1398380.897215643
35372,1371261.8543657868
35373,1315958.3984265309
35374,1234912.9157769817
35375,1164939.3234642898
35376,1079185.2924955324
35377,1053231.122365274
35378,1074958.4498796347
35379,1095122.557377502
35380,1101200.154207118
35381,1216993.979765441
35382,1531632.2664107427
35383,1730689.4570398612
35384,1756338.5414293332
35385,1630890.307264146
35386,1556284.5781059614
35387,1415543.8468939275
35388,1323458.787902813
35389,1229054.629005341
35390,1216311.659447964
35391,1215302.2190410579
35392,1253972.9987623687
35393,1330827.1477253241
35394,1542106.4420226254
35395,1571437.8150789854
35396,1551316.1390413688
35397,1488737.6545462867
35398,1420644.3285134805
35399,1284220.9666115434
35400,1179859.2429196523
35401,1136155.2571092555
35402,1149758.7712748847
35403,1246161.0779103502
35404,1300811.0726982546
35405,1539352.6010857674
35406,1745808.1736164447
35407,1953951.3171054318
35408,1886998.1619971844
35409,1745016.6855863403
35410,1566561.619211237
35411,1430468.3703293684
35412,1320816.1868535408
35413,1235474.8994118834
35414,1218851.8210726513
35415,1218851.8210726513
35416,1237992.2379694907
35417,1362271.369191542
35418,1621620.6779177955
35419,1710932.756153734
35420,1713424.155048212
35421,1701116.1508724308
35422,1560182.8096322112
35423,1456251.380397368
35424,1410551.6192737005
35425,1450034.9763891466
35426,1497565.1055618783
35427,1518352.055431294
35428,1562860.235406034
35429,1752985.3098631704
35430,2159929.1187423924
35431,2271962.5907550287
35432,2060028.8729591009
35433,1740537.9442807147
35434,1482456.655608188
35435,1331983.4450638061
35436,1231758.4917340367
35437,1179314.149474803
35438,1176110.6232407754
35439,1176110.6232407754
35440,1186711.4666497577
