,P20_model
35064,865802.8080146345
35065,861726.0722549155
35066,842154.5239903599
35067,854376.7702581631
35068,888749.0279762554
35069,1009249.5641704295
35070,1205651.353774239
35071,1322208.3681730055
35072,1263846.1238833624
35073,1147147.199164731
35074,1095897.7566989842
35075,1093639.5114712063
35076,1093639.5114712063
35077,1083289.1979741375
35078,1082217.4949809536
35079,1082217.4949809536
35080,1084767.254291214
35081,1173759.6698255995
35082,1289176.7411937816
35083,1306171.0045144614
35084,1306171.0045144614
35085,1257625.7644618088
35086,1115644.4889406404
35087,967935.0378957475
35088,842979.5347305138
35089,802081.2005247034
35090,779402.711060452
35091,794327.3820134653
35092,831251.7246129671
35093,953496.3458137403
35094,1133362.580085383
35095,1191316.4010971808
35096,1168433.7912928914
35097,1098049.0032941229
35098,1093639.5114712063
35099,1093639.5114712063
35100,1093639.5114712063
35101,1083034.3680785354
35102,1082651.6213953765
35103,1082217.4949809536
35104,1084767.254291214
35105,1173759.6698255995
35106,1309223.7818264742
35107,1326218.0451471545
35108,1326218.0451471545
35109,1224727.5138113424
35110,1071853.395556386
35111,922353.7304510018
35112,827233.5622888468
35113,785054.8239404466
35114,759733.4101493754
35115,764965.20790179
35116,787220.7227804528
35117,924128.626348394
35118,1155606.2739568886
35119,1281825.5954249636
35120,1261954.0522862775
35121,1175147.9833133165
35122,1107043.644603333
35123,1098049.0032941229
35124,1095897.7566989842
35125,1085547.4432019158
35126,1084475.740208732
35127,1084475.740208732
35128,1089176.7461141306
35129,1190015.3846328766
35130,1419333.2479532883
35131,1472607.921855404
35132,1513170.4368909537
35133,1406785.570607734
35134,1273614.8076934223
35135,1233461.9565115466
35136,1070781.2552658531
35137,1102304.1314189883
35138,1159907.644197503
35139,1218648.8139193938
35140,1251205.041219283
35141,1415928.9607769188
35142,1578029.9838886096
35143,1635471.6020491503
35144,1477340.5540616808
35145,1392402.9708870454
35146,1213702.3234395105
35147,1145883.0322569953
35148,1096784.8363863872
35149,1084283.2762941802
35150,1083211.5733009963
35151,1083211.5733009963
35152,1087912.579206395
35153,1211721.4703673697
35154,1415360.4534267734
35155,1511890.9811898167
35156,1509786.1684990758
35157,1419323.873589842
35158,1349741.25448837
35159,1271466.6946671072
35160,1123236.3706344333
35161,1164512.8119440852
35162,1205474.0945322562
35163,1218628.176338747
35164,1242428.3007442902
35165,1355847.0842531775
35166,1532536.8865885306
35167,1538301.1144181322
35168,1404726.3850564319
35169,1267772.153959778
35170,1106147.5542564078
35171,1095001.666352059
35172,1092743.4211242811
35173,1082393.1076272123
35174,1081321.4046340284
35175,1081321.4046340284
35176,1081414.1930078694
35177,1164724.0678568946
35178,1251984.2208780113
35179,1299982.437298341
35180,1343248.1632191155
35181,1281198.8164034018
35182,1124812.5606466501
35183,1012570.3982057733
35184,937736.8286169149
35185,916198.9130653689
35186,881778.6614555606
35187,881123.9098483062
35188,886879.9680748914
35189,956095.8017495853
35190,1091902.2663354767
35191,1244635.0093845632
35192,1250363.6464889317
35193,1196353.9706298427
35194,1106126.9866648142
35195,1097132.345355604
35196,1094981.0987604659
35197,1090147.4784265456
35198,1089075.7754333618
35199,1089075.7754333618
35200,1091319.8104023414
35201,1181829.000276311
35202,1327756.4576485555
35203,1349242.747392479
35204,1388345.383517803
35205,1332892.404365043
35206,1211706.755112739
35207,1188843.6219975245
35208,1081373.6245566008
35209,1103167.0757706028
35210,1180296.6928078502
35211,1234288.7748371756
35212,1359495.7226248663
35213,1446666.934114886
35214,1505853.08541494
35215,1578976.363567287
35216,1557633.614408554
35217,1459054.331191312
35218,1386072.0856252527
35219,1347551.3222157222
35220,1263462.5893072004
35221,1220659.2022685895
35222,1190448.647302739
35223,1190448.647302739
35224,1249373.23195901
35225,1389035.2300819315
35226,1461012.8691447962
35227,1551866.7936072452
35228,1593555.406039043
35229,1534677.6762039966
35230,1505037.2982880506
35231,1482732.6463339776
35232,1506458.9435541425
35233,1533170.7970197282
35234,1552120.505868751
35235,1583986.8747072653
35236,1640139.3958238072
35237,1738097.0729303733
35238,1798279.8567715315
35239,1831736.3192186216
35240,1595960.6642983337
35241,1407672.4446544526
35242,1264004.021537373
35243,1142482.976395401
35244,1102379.421834003
35245,1083034.467027724
35246,1081962.7640345402
35247,1081962.7640345402
35248,1093507.1646540107
35249,1230444.0597608208
35250,1459118.3196500705
35251,1523976.008988257
35252,1524789.281743189
35253,1453030.1412251669
35254,1385554.2696758753
35255,1333181.1068546125
35256,1156874.6529560748
35257,1173991.6566980933
35258,1209004.7562691523
35259,1225594.616969333
35260,1317656.2697391866
35261,1460332.2468949417
35262,1574250.332297937
35263,1572554.6969163911
35264,1422540.8447813573
35265,1264004.021537373
35266,1102379.421834003
35267,1091233.5339296542
35268,1088975.2887018763
35269,1078624.9752048075
35270,1077553.2722116236
35271,1077553.2722116236
35272,1080103.031521884
35273,1171246.6936514082
35274,1332591.754384354
35275,1409912.4461958737
35276,1425038.8306730397
35277,1353910.8749594467
35278,1225964.4620944436
35279,1098346.1882383334
35280,940322.6698831137
35281,939937.3218675837
35282,979166.7652702244
35283,1026361.3663041823
35284,1042052.5770257142
35285,1159494.5538784899
35286,1297078.6365435687
35287,1379147.7386250594
35288,1353450.10945184
35289,1196365.4198090571
35290,1106138.4358440281
35291,1094992.5479396794
35292,1094992.5479396794
35293,1082383.9892148327
35294,1081312.2862216488
35295,1081312.2862216488
35296,1086120.2907596875
35297,1175005.7076614334
35298,1358473.4136494251
35299,1430360.359829683
35300,1447276.166291742
35301,1357669.888969472
35302,1247018.8636439217
35303,1142714.5699183207
35304,978527.3901662723
35305,997220.4961155293
35306,1034027.0439295132
35307,1051551.342322259
35308,1115523.4157484611
35309,1216729.2677735882
35310,1443785.6504762368
35311,1505227.7888635336
35312,1407546.5347671225
35313,1270592.3036704685
35314,1123772.98227841
35315,1097821.81606275
35316,1097821.81606275
35317,1085213.2573379034
35318,1084141.5543447195
35319,1084141.5543447195
35320,1088949.5588827578
35321,1177834.9757845032
35322,1354908.0632869836
35323,1425380.0648847406
35324,1466374.7726071498
35325,1403020.1683876298
35326,1266670.4165848063
35327,1142334.974189243
35328,986421.5224928559
35329,1042731.6870678464
35330,1056284.9317406176
35331,1055630.1801333632
35332,1070941.7951258174
35333,1194442.5946985167
35334,1352303.7408241872
35335,1419761.110269993
35336,1402479.476328476
35337,1245805.1365433347
35338,1113435.2559196597
35339,1102289.3680153114
35340,1100031.122787533
35341,1089680.8092904647
35342,1088609.1062972809
35343,1088609.1062972809
35344,1090960.1398988997
35345,1170511.2104576759
35346,1253399.1654605123
35347,1330682.343763204
35348,1356482.4760991961
35349,1281198.8164034018
35350,1139002.9914234292
35351,1015677.339405469
35352,968211.164495008
35353,923486.6147286211
35354,889066.3631188126
35355,942241.3908610739
35356,949347.2231406214
35357,1056205.2969687362
35358,1212290.5633476893
35359,1273505.303195145
35360,1348160.5424799665
35361,1248092.333585949
35362,1115722.452962275
35363,1104576.5650579266
35364,1104576.5650579266
35365,1097484.6994962285
35366,1096412.9965030446
35367,1096412.9965030446
35368,1098764.030104664
35369,1174448.9778777116
35370,1254315.9010816764
35371,1278776.5276644595
35372,1331599.0793843681
35373,1263578.641084721
35374,1109084.4569250543
35375,999011.9324711162
35376,960584.2446970721
35377,915859.6949306855
35378,935269.2226703926
35379,934614.4710631382
35380,1021596.9011839097
35381,1048596.3260495875
35382,1145113.9077497087
35383,1283677.2706587075
35384,1370824.3258991514
35385,1375595.679151155
35386,1273963.4770963127
35387,1215131.680813883
35388,1165008.2514102524
35389,1126599.532431319
35390,1110722.5511268233
35391,1110722.5511268233
35392,1150918.8940620618
35393,1234551.7654787763
35394,1368073.4197650112
35395,1416258.456128995
35396,1413934.6930640517
35397,1335147.5999096571
35398,1231307.6242128923
35399,1170970.4311126147
35400,1067444.9220891
35401,1048032.4467862748
35402,1073839.6834619367
35403,1094303.7834619363
35404,1172480.8019752083
35405,1271345.7837138353
35406,1459912.3956106338
35407,1509578.6575593199
35408,1458857.598230097
35409,1418611.5954833343
35410,1279901.3411435415
35411,1206611.6538081155
35412,1156488.224404485
35413,1106034.3563460186
35414,1095968.0120436247
35415,1095968.0120436247
35416,1122317.6909744064
35417,1259274.1490648668
35418,1453208.5383278485
35419,1507580.4175211936
35420,1508393.6902761254
35421,1456681.5903907963
35422,1389205.7188415048
35423,1330068.471248175
35424,1241084.5588143044
35425,1282951.2364376597
35426,1344211.7933204737
35427,1343557.0417132196
35428,1414285.6694777077
35429,1600740.5095960284
35430,1666012.3773544575
35431,1694436.6029452616
35432,1565598.8529981817
35433,1418611.5954833343
35434,1278009.2695464566
35435,1156488.224404485
35436,1107390.0285338769
35437,1094888.4684416698
35438,1093816.765448486
35439,1093816.765448486
35440,1098517.7713538846
35441,1196485.3893887089
35442,1441801.447896602
35443,1516743.073709716
35444,1514638.2610189752
35445,1419575.2668938767
35446,1349992.6477924045
35447,1250617.5710711419
35448,1104137.5278889579
35449,1107464.045608346
35450,1151960.83131399
35451,1165180.9134069385
35452,1226459.2120438705
35453,1313738.9172219734
