,P10_model
35064,842140.1134078645
35065,831500.1024870431
35066,806116.44348997
35067,812941.8361767171
35068,842093.822966078
35069,905934.4212201027
35070,992164.5389767179
35071,1170391.7608665596
35072,1173962.6493490357
35073,1094045.3866532685
35074,1072741.457598449
35075,1070689.9014156605
35076,1070689.9014156605
35077,1064800.1373270608
35078,1060607.660586875
35079,1060607.660586875
35080,1082903.2134546633
35081,1152812.7948763021
35082,1206991.8347246312
35083,1213730.130108977
35084,1221012.044121275
35085,1186952.9225403469
35086,1088193.2819636688
35087,940019.003958594
35088,829321.247931368
35089,786425.5794625856
35090,755611.1866346473
35091,794333.7672727501
35092,810210.0361310903
35093,888156.5008605031
35094,1046158.1382923026
35095,1141354.723163894
35096,1092541.9982084252
35097,1074134.727598449
35098,1072083.1714156605
35099,1072244.1673799478
35100,1072105.3320120405
35101,1066193.4073270608
35102,1062000.930586875
35103,1062000.930586875
35104,1084296.4834546628
35105,1161385.8821430062
35106,1262674.2114708556
35107,1271140.9428487238
35108,1271140.9428487238
35109,1221350.1245339657
35110,1066115.1779800444
35111,920616.3569810983
35112,809582.7460972221
35113,760401.4460083126
35114,727218.2748510123
35115,755179.7285633569
35116,757612.9724896969
35117,881185.5671069903
35118,1046698.1194707898
35119,1141894.7043423806
35120,1182408.6928615388
35121,1096492.2727864922
35122,1076403.1447704586
35123,1074674.7087769357
35124,1074674.7087769357
35125,1068762.784091956
35126,1064570.30735177
35127,1064570.30735177
35128,1086348.0396374513
35129,1170396.2321488264
35130,1331512.305345326
35131,1352918.013409169
35132,1385318.8154039015
35133,1341521.7271235692
35134,1202627.0077649876
35135,1137292.4039962522
35136,1033316.7133196752
35137,1020156.7219231447
35138,1056691.071377957
35139,1106414.4557281795
35140,1171924.444401968
35141,1261651.964494899
35142,1372957.5000396557
35143,1524549.5240504134
35144,1421006.8333864245
35145,1246887.5256508472
35146,1134194.4010036183
35147,1075878.5119144032
35148,1074150.0759208803
35149,1068238.1512359006
35150,1064045.6744957147
35151,1064045.6744957147
35152,1085823.406781396
35153,1166683.6922258479
35154,1356931.619105247
35155,1386842.6718112174
35156,1417072.4556786618
35157,1435764.056251371
35158,1312080.1282437649
35159,1170148.6424872691
35160,1045362.5362791319
35161,1067457.389578094
35162,1107385.8949779572
35163,1106414.4557281795
35164,1171924.444401968
35165,1237275.8235757076
35166,1331749.336582276
35167,1474963.7558748228
35168,1260166.115166266
35169,1177150.379913501
35170,1074591.9492362607
35171,1072863.5132427379
35172,1070811.9570599494
35173,1064900.0323749697
35174,1060729.7162311643
35175,1060868.5515990716
35176,1082485.287920465
35177,1150387.014816367
35178,1220483.8526949086
35179,1246443.5615634646
35180,1255472.1551556766
35181,1234451.4377813323
35182,1117245.772437388
35183,973256.6439770214
35184,868791.0793889633
35185,846499.6600325542
35186,848635.646672335
35187,847664.2074225574
35188,850097.4513488974
35189,901222.7820408837
35190,1018204.197790442
35191,1112658.7276905389
35192,1189917.56962237
35193,1132907.8383254758
35194,1074591.9492362607
35195,1072863.5132427379
35196,1072863.5132427379
35197,1066951.5885577581
35198,1066833.0023798235
35199,1066833.0023798235
35200,1086265.2800967759
35201,1159397.3648221872
35202,1257961.9044444389
35203,1298740.7809570224
35204,1306953.7009576967
35205,1273964.7982013274
35206,1196680.523951108
35207,1141637.807819063
35208,1022063.9842998048
35209,1017073.7824221808
35210,1100991.9412093556
35211,1157633.4841531508
35212,1253074.5488949257
35213,1309496.7937296475
35214,1306873.040287103
