,P30_model
35064,886088.0166915534
35065,868144.6400178181
35066,856581.4882923613
35067,877841.901128816
35068,905939.8324878454
35069,1002154.5421981011
35070,1201703.2863719417
35071,1349941.0681408215
35072,1301405.010293577
35073,1189599.902916257
35074,1125413.917975215
35075,1108604.8630494445
35076,1107826.402390179
35077,1094731.1870228855
35078,1095825.9798277256
35079,1093854.20034702
35080,1108921.4584501192
35081,1186997.1424868256
35082,1332896.469433325
35083,1340220.3462811287
35084,1342492.1760185414
35085,1277453.2999232088
35086,1114422.9887020553
35087,967439.4776184788
35088,836750.6743934393
35089,815609.3238433454
35090,807533.5957849552
35091,819404.2913751996
35092,866449.4010007131
35093,966632.6106740636
35094,1156825.5341940396
35095,1232098.538579281
35096,1185450.6347262755
35097,1124855.6787372797
35098,1111598.7104486458
35099,1094583.128771717
35100,1095677.921576557
35101,1080966.3823993236
35102,1084568.1993260707
35103,1082596.4198453652
35104,1097663.6779484644
35105,1186618.6658260731
35106,1333899.0084122594
35107,1338605.5298455686
35108,1334614.5466316056
35109,1225412.6774631676
35110,1066903.869621698
35111,936720.4197048298
35112,826145.7662829271
35113,777102.6976828974
35114,760941.9053866095
35115,761530.8301134586
35116,814077.8114764255
35117,927064.7122105148
35118,1169785.8797962936
35119,1337035.0241879215
35120,1287038.6526865268
35121,1202864.5173231557
35122,1151763.944045869
35123,1125223.3117686787
35124,1121112.5480493407
35125,1102995.4932633827
35126,1092854.5499733544
35127,1092854.5499733544
35128,1108495.7542040488
35129,1197911.3909573443
35130,1453278.8157137271
35131,1510331.6392260266
35132,1537686.2113986828
35133,1409128.8852774587
35134,1268525.1369817618
35135,1149453.4708517047
35136,1125914.0778157685
35137,1154146.0412790603
35138,1210474.9615945723
35139,1251247.202105021
35140,1317617.1863906642
35141,1434152.1392934725
35142,1660304.602290775
35143,1814886.2460963118
35144,1602098.3778053205
35145,1445446.4203910958
35146,1252514.73393843
35147,1167527.6718997834
35148,1122409.7949077766
35149,1104292.7401218184
35150,1090041.033112452
35151,1090041.033112452
35152,1103501.2747594959
35153,1210632.1949760655
35154,1472055.2785698478
35155,1541604.2274552556
35156,1533398.5874548038
35157,1506070.1460988414
35158,1342292.4290774702
35159,1160404.044595044
35160,1185010.1177910643
35161,1224493.5414028703
35162,1232457.6157187175
35163,1231794.9166089615
35164,1303333.1492275917
35165,1427698.0403801696
35166,1591310.4048739187
35167,1704138.6957127089
35168,1529510.1715873424
35169,1275425.9795519519
35170,1133187.6548825195
35171,1117815.0733359912
35172,1105116.7821295587
35173,1081970.818718153
35174,1079108.3389254794
35175,1079108.3389254794
35176,1096947.8815753353
35177,1181213.2491017517
35178,1267514.5766589665
35179,1325075.2650637524
35180,1329188.7883039012
35181,1291246.1987839502
35182,1111862.9448938237
35183,1000695.1809853881
35184,990407.4585132188
35185,915550.6485645919
35186,890747.4135172439
35187,890084.7144074882
35188,902053.387419307
35189,967660.5952245774
35190,1093698.9796186693
35191,1278785.8013875496
35192,1295535.9347924378
35193,1249994.2785407703
35194,1146218.7979573382
35195,1119678.165680148
35196,1119678.165680148
35197,1101454.504747033
35198,1091313.5614570042
35199,1089711.215473819
35200,1104973.943043761
35201,1191082.0822984625
35202,1332528.5985736323
35203,1375851.8470517942
35204,1413534.8833699075
35205,1347763.8963417455
35206,1200621.9785833915
35207,1132062.5771937054
35208,1142623.9388046165
35209,1156667.4661963114
35210,1223240.1374218874
35211,1282361.0277577452
35212,1349651.73350226
35213,1495288.4123661376
35214,1723617.8724717225
35215,1861076.2521106333
35216,1705944.2763224114
35217,1621433.7228613624
35218,1444001.9196268364
35219,1409266.9506582392
35220,1303095.3032652957
35221,1246762.8891769245
35222,1217404.313084329
35223,1217404.313084329
35224,1251216.3593885617
35225,1436296.9738590822
35226,1582540.8507369654
35227,1661327.2646671687
35228,1694299.6094430548
35229,1641729.9720414903
35230,1627749.1406550894
35231,1519102.4370623718
35232,1482413.7257925712
35233,1500215.199416056
35234,1559407.1147510284
35235,1559407.1147510284
35236,1629279.8283004155
35237,1761108.291274134
35238,1930033.4144298802
35239,1973404.5501027426
35240,1738811.0684676964
35241,1555722.943119566
35242,1317471.6520015877
35243,1188620.2950587855
35244,1147568.1898229066
35245,1105091.465343409
35246,1089037.2724111446
35247,1089037.2724111446
35248,1130840.6322582767
35249,1261924.8649201507
35250,1512768.7265821546
35251,1545034.1805692813
35252,1618897.8992216538
35253,1529353.5731281105
35254,1412587.4721489314
35255,1301574.635462975
35256,1193385.5299876463
35257,1226290.0790757367
35258,1257570.1538585348
35259,1289707.9171053923
35260,1326103.9590173326
35261,1477403.3523347266
35262,1666581.5587824485
35263,1763862.0499098687
35264,1567137.2502546604
35265,1306006.0800015875
35266,1147568.1898229066
35267,1116916.7938263784
35268,1107212.3500191472
35269,1081072.5392085398
35270,1080195.5525326743
35271,1080195.5525326743
35272,1099043.4494649242
35273,1184791.7446409774
35274,1348027.394061876
35275,1417872.806087555
35276,1457394.264937015
35277,1389519.7732407993
35278,1175480.2687581924
35279,1045755.4081418662
35280,982090.625689354
35281,978123.626858969
35282,1013166.0385816172
35283,1034880.1979093414
35284,1083715.4874436911
35285,1213378.5314239743
35286,1387303.4787289142
35287,1587833.7570667225
35288,1418477.7340489407
35289,1253228.6346419314
35290,1122912.5217813095
35291,1122912.5217813095
35292,1118801.7580619715
35293,1097987.592004254
35294,1084852.8013150245
35295,1087846.6487142257
35296,1103625.5249722768
35297,1186676.7088765705
35298,1389646.244455081
35299,1458523.0604937593
35300,1470388.1739135908
35301,1390915.1674173756
35302,1176875.6629347682
35303,1047150.8023184423
35304,1010085.281811975
35305,1040276.4124587162
35306,1067469.1387261695
35307,1083937.4329564136
35308,1161271.3212907389
35309,1280427.0199601022
35310,1497832.5336383483
35311,1664335.0803147294
35312,1480699.5457656314
35313,1309748.7457521851
35314,1164819.440152415
35315,1124770.2232963145
35316,1120659.4595769765
35317,1096851.4461200573
35318,1086710.502830029
35319,1086710.502830029
35320,1105483.2264872813
35321,1188534.410391575
35322,1398303.9761107815
35323,1457577.8543940359
35324,1506726.4627121484
35325,1404696.4412879555
35326,1188011.1169782586
35327,1046648.0754449087
35328,998782.6232947733
35329,1046446.8359323144
35330,1073297.4735489676
35331,1072634.7744392117
35332,1090872.6227982412
35333,1228599.4952429002
35334,1422810.3583783335
35335,1584594.811658341
35336,1410452.9774367344
35337,1273648.1044123978
35338,1154560.1272086492
35339,1123908.731212121
35340,1114204.2874048897
35341,1088064.4765942828
35342,1087187.4899184168
35343,1087187.4899184168
35344,1108732.4981224262
35345,1189487.8695615318
35346,1268546.2045157524
35347,1341419.3895408548
35348,1360326.7992710916
35349,1303876.341440736
35350,1125420.8333470395
35351,1012499.1706907081
35352,979949.9576269399
35353,906421.9482100647
35354,880773.555531794
35355,956281.9483352313
35356,968250.6213470501
35357,1057586.6516991062
35358,1272619.9896885974
35359,1408720.0863632371
35360,1393399.3480226796
35361,1272228.100020893
35362,1156111.5231998602
35363,1126599.4905399538
35364,1124469.5494645531
35365,1105678.7183350793
35366,1092543.9276458493
35367,1095537.7750450505
35368,1111316.651303102
35369,1186231.0017307722
35370,1263266.0017567493
35371,1271000.296189483
35372,1324940.2134016843
35373,1272689.8346731607
35374,1104772.152783034
35375,1004376.7507231329
35376,985598.7911273866
35377,904067.3088913405
35378,954590.0081262628
35379,953927.3090165071
35380,1035093.921957801
35381,1092822.497638005
35382,1241817.098323696
35383,1489941.6998037037
35384,1492140.099292696
35385,1436231.257699303
35386,1314092.9825696086
35387,1258504.9416659838
35388,1202747.1645697313
35389,1158194.9910033748
35390,1133784.5764585666
35391,1133784.5764585666
35392,1159818.8306858325
35393,1267364.4386386438
35394,1396857.5551393493
35395,1462419.6481024185
35396,1451220.6747222503
35397,1354795.0981559057
35398,1262870.744411552
35399,1126722.4532288087
35400,1096205.8196331772
35401,1079748.571369712
35402,1090103.1021768851
35403,1130627.9683768852
35404,1213839.1509452565
35405,1363594.7555606435
35406,1503053.767635589
35407,1695607.5657676603
35408,1582213.3956220872
35409,1439142.034435595
35410,1328469.3313059006
35411,1265806.3561984506
35412,1200445.641346774
35413,1143457.4439085878
35414,1103043.5812827835
35415,1103043.5812827835
35416,1156174.5631251757
35417,1272291.486955453
35418,1531523.0578691042
35419,1599482.489648263
