,P90_model
35064,923104.3227080626
35065,977997.5170520846
35066,1016239.7579109593
35067,1021675.9370793498
35068,1026045.0158645257
35069,1151718.7419868284
35070,1462223.4974498604
35071,1511432.3446390936
35072,1542357.4817565354
35073,1383574.7728434005
35074,1238925.9458658108
35075,1195290.656662716
35076,1187117.6089590685
35077,1186514.7707482763
35078,1173321.5238246862
35079,1186514.7707482763
35080,1231761.7491660006
35081,1305070.285589694
35082,1439277.0014474401
35083,1471339.7855885532
35084,1453181.1436620816
35085,1319577.3564134198
35086,1218108.1255616532
35087,1105248.7600453356
35088,919679.8275328398
35089,932447.2701066325
35090,937491.8387859559
35091,986228.7415777593
35092,995734.7287186874
35093,1127897.3419455285
35094,1341166.1091189613
35095,1366410.7039981023
35096,1365647.63514855
35097,1291288.8405672172
35098,1189362.8662003414
35099,1191762.466512219
35100,1175874.9546924043
35101,1174206.2572754542
35102,1174206.2572754542
35103,1178358.6088252473
35104,1228233.5590155036
35105,1305070.285589694
35106,1430057.4692254215
35107,1453345.7546795248
35108,1439679.901073235
35109,1302831.0097852563
35110,1183311.620731175
35111,1043489.0060732607
35112,882466.7165961389
35113,881522.3455380292
35114,870940.9582708617
35115,884591.2585237931
35116,948332.9891840803
35117,1128768.6664494574
35118,1373604.9365447871
35119,1448725.5326582436
35120,1526516.6157966098
35121,1442347.7263983698
35122,1310491.2783841179
35123,1248725.4753114767
35124,1222784.9411810217
35125,1200010.7895204145
35126,1201341.0957429977
35127,1201341.0957429977
35128,1263549.127180737
35129,1387281.3895007442
35130,1555684.354373606
35131,1614557.451970885
35132,1600325.5127912834
35133,1541413.2048662384
35134,1469914.1442921106
35135,1364371.6263425713
35136,1204942.2770212877
35137,1256856.415996278
35138,1366421.931531285
35139,1396026.2919156933
35140,1437825.691650568
35141,1668607.1068116128
35142,1922161.5352982827
35143,2113752.9826735696
35144,1936156.3698944137
35145,1729398.1804912766
35146,1553397.585566496
35147,1312916.694664239
35148,1244540.2108598542
35149,1201341.0957429977
35150,1201341.0957429977
35151,1201341.0957429977
35152,1258805.6698906575
35153,1393154.6019640015
35154,1581801.9257849013
35155,1687367.5441794721
35156,1717191.4345035008
35157,1670142.8418603875
35158,1564057.3323202296
35159,1431193.1705269823
35160,1296417.5716077257
35161,1326831.0238883274
35162,1397038.4191707533
35163,1399880.8968816374
35164,1428080.4800555834
35165,1549236.2784787463
35166,1797267.2819106746
35167,1987047.9228008124
35168,1850610.8246774883
35169,1584336.8842292903
35170,1305540.3179778294
35171,1219009.1798269278
35172,1192242.9578712252
35173,1186711.4307094286
35174,1191640.119660433
35175,1192378.2092499258
35176,1236887.0980781573
35177,1316828.2091149776
35178,1444606.8547014212
35179,1434972.305112957
35180,1460360.707251667
35181,1397701.4355132564
35182,1293297.152247486
35183,1231953.7719362339
35184,1108656.009851968
35185,1067002.3798713812
35186,1064555.9322696982
35187,1064555.9322696982
35188,1114230.566933334
35189,1219038.4930485128
35190,1488098.917227168
35191,1617841.0410271217
35192,1584626.9014427336
35193,1519840.4633277887
35194,1341947.274319373
35195,1287470.378025663
35196,1254240.937116277
35197,1232797.091678253
35198,1232797.091678253
35199,1232797.091678253
35200,1284422.1189729273
35201,1389933.6386490604
35202,1518786.473134363
35203,1564016.3560648854
35204,1583374.7086788714
35205,1506882.0126735417
35206,1467802.9263328363
35207,1403972.2055653818
35208,1263680.114953023
35209,1297809.0547967216
35210,1404709.6999676598
35211,1407552.1776785438
35212,1542078.398163248
35213,1672988.5309029948
35214,1980749.327181031
35215,2120296.96155805
35216,2185802.143618506
35217,2022673.5057749036
35218,1859663.6842947314
35219,1675855.5547579098
35220,1525481.624567391
35221,1440411.0055858386
35222,1370322.4950815612
35223,1377211.3555327794
35224,1434700.641698651
35225,1629591.1944357404
35226,1864232.433174546
35227,1936261.5462622026
35228,2042681.826051087
35229,1993963.730871645
35230,1857971.1732901887
35231,1742580.1670114067
35232,1661482.202295865
35233,1653230.0882584169
35234,1772076.6546921495
35235,1803841.1512461898
35236,1820909.5160822237
35237,1998882.3471243768
35238,2343000.5479821367
35239,2363362.234840482
35240,2170775.062910645
35241,1911862.003737979
35242,1601068.5659813522
35243,1383083.6432946264
35244,1247914.0785799427
35245,1202346.6513620606
35246,1195057.7445831294
35247,1202346.6513620606
35248,1260705.5713839917
35249,1397744.384969039
35250,1639797.5424890304
35251,1768719.6383330515
35252,1786601.6722527747
35253,1694975.8887561294
35254,1614139.1611814173
35255,1480639.280545875
35256,1336806.450051059
35257,1406471.6526537025
35258,1413601.3445009252
35259,1413601.3445009252
35260,1535338.1426370481
35261,1716220.0972073292
35262,1936762.035693999
35263,2003166.1793743023
35264,1885826.182808692
35265,1587745.409499927
35266,1304207.9272242496
35267,1224674.637724801
35268,1183589.4188085715
35269,1178057.891646775
35270,1178057.891646775
35271,1178057.891646775
35272,1228233.5590155036
35273,1317102.6496587046
35274,1477345.1168667711
35275,1529944.1466272883
35276,1572319.6320345583
35277,1475366.349326027
35278,1379647.6746274056
35279,1253141.788127557
35280,1116135.5652225865
35281,1141896.4777698414
35282,1153698.7354857877
35283,1153698.7354857877
35284,1158067.8142709637
35285,1316793.323177169
35286,1596414.3831725107
35287,1762416.510954224
35288,1653219.4206893076
35289,1488384.4673925336
35290,1304500.4362976272
35291,1230957.9888846693
35292,1206434.876555909
35293,1184341.2428066432
35294,1184341.2428066432
35295,1184341.2428066432
35296,1251516.7631117264
35297,1326825.796181696
35298,1489273.9243079997
35299,1554016.8423466021
35300,1582691.1057452005
35301,1484968.2423035838
35302,1393175.411963678
35303,1308959.9633354452
35304,1168122.6177478996
35305,1155414.9054559798
35306,1149256.0393273165
35307,1187424.1962675615
35308,1254101.0692830053
