,P40_model
35064,858025.7198015369
35065,821614.6044726385
35066,818900.3964406875
35067,866818.0610407434
35068,860194.7566553476
35069,979541.9676496057
35070,1225169.9158902557
35071,1325045.4177276413
35072,1343886.4294624596
35073,1183998.195803444
35074,1126798.4876657424
35075,1115348.417959484
35076,1115348.417959484
35077,1098878.0169784662
35078,1087265.9638829695
35079,1087265.9638829695
35080,1103102.6006351956
35081,1180827.3237792244
35082,1325097.0290734442
35083,1354528.5368828627
35084,1322622.6228040648
35085,1259839.3186179558
35086,1089402.1459050113
35087,967625.6316890096
35088,835531.4355302529
35089,822665.7574912832
35090,804666.4090856913
35091,820592.2622042346
35092,838995.1654074216
35093,933482.1896305747
35094,1181382.0365666253
35095,1263498.506504399
35096,1196265.4736503547
35097,1132738.2574987635
35098,1129714.0620320046
35099,1122136.1580060523
35100,1122136.1580060523
35101,1105665.7570250344
35102,1094053.7039295377
35103,1094053.7039295377
35104,1109890.3406817638
35105,1187615.0638257926
35106,1337212.3798540388
35107,1361316.276929431
35108,1322071.9832567885
35109,1239647.6876542661
35110,1083270.7432323103
35111,912866.2276759594
35112,833448.4553614022
35113,793619.0062204917
35114,773953.6120900362
35115,778834.0855379616
35116,820286.8546565162
35117,935683.283945076
35118,1202448.2308811264
35119,1329071.1203501276
35120,1317690.5361150282
35121,1220046.298589723
35122,1138642.2169782838
35123,1133586.2277123106
35124,1133586.2277123106
35125,1105665.7570250344
35126,1097925.8696098437
35127,1097925.8696098437
35128,1115376.5956641207
35129,1206968.8918315556
35130,1438422.4716120767
35131,1490205.4501940573
35132,1502463.0664820736
35133,1378241.070563897
35134,1267153.3360072155
35135,1157654.0932788365
35136,1120837.5686846646
35137,1140593.9859322384
35138,1174974.384051517
35139,1255105.4368114339
35140,1325126.5382700318
35141,1450681.0166104385
35142,1729560.735863856
35143,1822888.9576442977
35144,1688190.9266937238
35145,1451113.829512384
35146,1286922.4522677183
35147,1142051.4389667038
35148,1128085.9465571565
35149,1104037.6415501868
35150,1092425.58845469
35151,1092425.58845469
35152,1108538.3601886528
35153,1213106.0551941295
35154,1454020.5695936084
35155,1539806.6773024246
35156,1552456.927975886
35157,1526552.822207586
35158,1372328.35787381
35159,1204280.0957470494
35160,1163255.165514478
35161,1181679.2607086864
35162,1229254.4162702623
35163,1234955.4048269119
35164,1277098.1870527382
35165,1395303.502109184
35166,1624595.08177923
35167,1688146.8605803247
35168,1558844.3201014737
35169,1307839.5244750006
35170,1125481.6159988276
35171,1121609.4503185216
35172,1114031.5462925697
35173,1097561.1453115519
35174,1085949.0922160551
35175,1085949.0922160551
35176,1099366.7431795953
35177,1172146.7356712052
35178,1282427.2581758373
35179,1333203.2668236266
35180,1321875.7629024482
35181,1273826.7661475276
35182,1099002.2726578687
35183,1004114.3981513705
35184,965796.897840635
35185,910514.6174162142
35186,894384.4048618092
35187,892231.3192580633
35188,888665.8765049573
35189,973915.5627279936
35190,1192441.5307941688
35191,1292317.0326315544
35192,1345064.7692770564
35193,1288176.705078337
35194,1168607.3650092315
35195,1162126.7845664923
35196,1162126.7845664923
35197,1132610.6052038942
35198,1108726.760874543
35199,1108726.760874543
35200,1118421.4097003187
35201,1192777.7562264577
35202,1356602.270920457
35203,1400430.7213592294
35204,1417276.729317625
35205,1330029.293208463
35206,1189108.350004956
35207,1155516.0026475312
35208,1124648.8677281272
35209,1138621.7459784085
35210,1232098.7107091644
35211,1289734.6088916303
35212,1358279.3086556639
35213,1487008.1905039998
35214,1780500.1116816232
35215,1857993.2440487375
35216,1758663.766095951
35217,1715662.4296312153
35218,1520637.9049884237
35219,1458718.3008529323
35220,1368817.865177695
35221,1261260.7351607159
35222,1215037.142924622
35223,1215037.142924622
35224,1276041.8029827634
35225,1399713.6386035536
35226,1670758.8158316428
35227,1696892.4891403075
35228,1707679.2787494427
35229,1738888.9401849518
35230,1682074.697861143
35231,1597803.4999472091
35232,1565514.7134080504
35233,1561768.9888672752
35234,1629701.464290376
35235,1629701.464290376
35236,1683494.6244143783
35237,1842899.0799672296
35238,2056836.3521893555
35239,2125108.1966996836
35240,1789092.3704346109
35241,1595807.2007840376
35242,1340029.8960785985
35243,1205629.4347758836
35244,1136352.7817889394
35245,1105427.2984359923
35246,1093815.2453404956
35247,1093815.2453404956
35248,1118143.149740749
35249,1268816.965688197
35250,1515149.2310102514
35251,1577220.640356854
35252,1646819.3094238432
35253,1599387.165216719
35254,1483682.4356674028
35255,1337716.951933514
35256,1182492.4533605638
35257,1258748.1457220225
35258,1256653.3485274045
35259,1309089.4278756478
35260,1339405.0057869768
35261,1486907.7557316516
35262,1733273.522675307
35263,1757947.0546144836
35264,1627749.9964032627
35265,1339181.9258650516
35266,1136352.7817889394
35267,1127861.5141409116
35268,1123989.3484606056
35269,1099941.0434536354
35270,1088328.9903581387
35271,1088328.9903581387
35272,1104165.6271103644
35273,1183504.4395564445
35274,1365633.1046711153
35275,1439124.2320991876
35276,1430248.77054677
35277,1381992.2319218123
35278,1196328.8911616795
35279,1071975.7136119993
35280,991210.0212179094
35281,987759.3345585205
35282,986988.7488730487
35283,1029780.7117335361
35284,1072460.7901967803
35285,1144627.0650556993
35286,1443981.3616247901
35287,1567870.2763203587
35288,1430681.1792649415
35289,1263681.7210909335
35290,1128917.6243981349
35291,1128917.6243981349
35292,1125045.4587178288
35293,1100997.1537108587
35294,1089385.100615362
35295,1089385.100615362
35296,1109093.9030478937
35297,1182668.217461696
35298,1384859.6529111436
35299,1459936.8289828955
35300,1445628.4647900064
35301,1375460.626165049
35302,1184675.4460256111
35303,1060322.268475931
35304,1038880.5832909849
35305,1030151.4858509945
35306,1059431.962412942
35307,1073727.690108196
35308,1125574.9200332153
35309,1192980.25550829
35310,1511221.8859192932
35311,1635110.8006148618
35312,1509632.4641262463
35313,1339885.2019879117
35314,1145965.5610553732
35315,1128564.7902637713
35316,1124692.6245834653
35317,1100644.3195764956
35318,1089032.2664809988
35319,1089032.2664809988
35320,1103530.9489129107
35321,1182050.0458894328
35322,1390495.1934627795
35323,1452709.2740173421
35324,1487796.3530208936
35325,1386149.3127613764
35326,1180727.9309161075
35327,1056327.645159128
35328,1031647.1284048685
35329,1031625.7597383563
35330,1044813.1798361184
